,steel,coal
2015M01,2188,62.45
2015M02,2208,71.05
2015M03,2287,56.8
2015M04,2206,62.05
2015M05,2055,60.05
2015M06,1877,60.8
2015M07,2043,60.3
2015M08,1935,58.4
2015M09,1796,53.85
2015M10,1764,53.05
2015M11,1687,53.55
2015M12,1841,50.6
2016M01,1783,48.8
2016M02,1831,50.5
2016M03,2275,51.1
2016M04,2727,50.75
2016M05,1931,53.5
2016M06,2208,56.8
2016M07,2343,61.15
2016M08,2378,68.75
2016M09,2168,72.2
2016M10,2415,108.6
2016M11,3044,87.45
2016M12,2954,88.4
2017M01,3307,83
2017M02,3871,83.45
2017M03,3774,80.75
2017M04,3375,83.55
2017M05,3865,73.45
2017M06,3692,81
2017M07,3992,93.2
2017M08,4151,95.3
2017M09,3913,97.25
2017M10,3682,99.9
2017M11,4370,96.8
2017M12,4215,100.8
2018M01,3866,104.35
2018M02,4135,105.1
2018M03,3530,96.4
2018M04,3938,99.4
2018M05,4130,110.15
2018M06,4184,114.4
2018M07,4157,119.9
2018M08,4579,118
2018M09,4527,113.85
2018M10,4612,105.2
2018M11,3512,101.7
2018M12,3870,102.05
2019M01,3821,99
2019M02,3797,96.05
2019M03,3732,92.75
2019M04,4192,85.2
2019M05,3834,83.4
2019M06,3780,70.9
2019M07,4064,69.95
2019M08,3625,65.75
2019M09,3691,65.55
2019M10,3494,66.95
2019M11,3938,67.85
2019M12,3796,67.7
2020M01,3626,68.5
2020M02,3390,67.4
2020M03,3431,67.85
2020M04,3506,51.25
2020M05,3504,52
2020M06,3699,52.15
2020M07,3802,51.95
2020M08,3773,49.8
2020M09,3613,58.65
2020M10,3748,58.2
2020M11,4194,63.9
2020M12,4220,80.5
2021M01,4191,86.2
2021M02,4587,85.1
2021M03,4832,96.25
2021M04,5362,93.3
2021M05,4842,118.9
2021M06,4893,128.55
2021M07,5705,149.75
2021M08,5233,172
2021M09,5835,218
2021M10,4806,223.45
2021M11,4176,152
2021M12,4548,169.6
